Date_Time,Objects_Detected,Confidence
2026-07-26 13:30:08,"remote, person, cell phone, person",50.6
2026-07-26 16:56:52,person,89.4
2026-07-26 16:57:50,person,29.2
2026-07-28 08:59:59,person,89.4
2026-07-28 11:10:57,person,89.4
2026-07-28 11:11:27,"person, cell phone, person",73.0
2026-07-28 11:11:52,"remote, person, person, person",74.0
2026-07-28 11:23:20,person,89.4
2026-07-28 11:23:43,"person, cell phone, person",73.0
2026-07-28 11:24:06,"remote, person, person, person",74.0
2026-07-28 11:30:50,person,89.4
2026-07-28 11:32:40,"remote, person, person, person",74.0
2026-07-28 11:34:35,"person, cell phone, person",73.0
2026-07-28 11:55:49,"remote, person, person, person",74.0
2026-07-28 11:56:07,person,89.4
2026-07-28 11:56:55,"person, cell phone, person",73.0
2026-07-28 12:13:36,person,89.4
2026-07-28 12:14:29,"person, cell phone, person",73.0
2026-07-28 12:15:26,person,89.4
2026-07-28 12:15:38,"person, cell phone, person",73.0
2026-07-29 14:04:35,person,89.4
2026-07-29 14:06:10,"person, cell phone, person",73.0
2026-07-29 14:07:55,"remote, person, person, person",74.0
2026-07-29 14:09:37,person,89.4
2026-07-29 14:09:46,"person, cell phone, person",73.0
2026-07-29 14:09:53,"remote, person, person, person",74.0
2026-07-29 20:41:24,person,89.4
2026-07-29 20:41:49,"remote, person, person, person",74.0
2026-07-29 20:42:27,person,89.4
2026-07-29 20:42:44,"person, cell phone, person",73.0
2026-07-29 20:43:02,"remote, person, person, person",74.0
